timestamp,time_of_day,hour,day_of_week,weather,traffic_density,num_vehicles,avg_speed_kph,num_accidents,road_block,signal_delay_sec,reroute_count,route_distance_km,travel_time_min,congestion_score,congestion_level
2025-01-01 00:00:00,Night,0,Wednesday,Rain,32,164,61.4,0,0,50,1,28.59,35.97,40,Medium
2025-01-01 00:07:00,Night,0,Wednesday,Fog,49,195,44.98,0,0,60,2,24.14,43.82,59,Medium
2025-01-01 00:14:00,Night,0,Wednesday,Rain,39,141,56.96,0,0,88,2,10.09,21.28,51,Medium
2025-01-01 00:21:00,Night,0,Wednesday,Fog,59,220,38.2,1,0,80,5,0.65,16.75,80,High
2025-01-01 00:28:00,Night,0,Wednesday,Storm,38,189,45.2,0,0,67,3,3.35,16.0,58,Medium
2025-01-01 00:35:00,Night,0,Wednesday,Clear,42,176,61.43,0,0,55,2,26.87,34.72,42,Medium
2025-01-01 00:42:00,Night,0,Wednesday,Clear,45,187,57.05,1,0,73,4,9.53,21.5,57,Medium
2025-01-01 00:49:00,Night,0,Wednesday,Fog,70,299,34.38,1,0,82,7,27.58,65.7,90,High
2025-01-01 00:56:00,Night,0,Wednesday,Rain,52,215,44.88,0,0,67,3,9.41,24.5,60,Medium
2025-01-01 01:03:00,Night,1,Wednesday,Clear,41,193,64.01,1,0,55,4,3.92,13.59,50,Medium
2025-01-01 01:10:00,Night,1,Wednesday,Clear,59,273,49.8,0,0,65,1,5.95,18.87,59,Medium
2025-01-01 01:17:00,Night,1,Wednesday,Clear,38,169,65.26,0,0,74,4,27.35,33.94,42,Medium
2025-01-01 01:24:00,Night,1,Wednesday,Clear,56,204,53.53,0,0,94,3,6.82,19.83,59,Medium
2025-01-01 01:31:00,Night,1,Wednesday,Clear,39,137,66.34,0,0,70,2,13.57,20.64,40,Medium
2025-01-01 01:38:00,Night,1,Wednesday,Clear,37,177,63.58,0,0,39,3,10.09,16.65,36,Low
2025-01-01 01:45:00,Night,1,Wednesday,Rain,57,240,43.5,1,0,37,3,26.27,48.91,67,Medium
2025-01-01 01:52:00,Night,1,Wednesday,Rain,57,224,47.68,0,0,70,3,10.76,25.87,62,Medium
2025-01-01 01:59:00,Night,1,Wednesday,Fog,39,160,48.1,0,0,31,2,29.79,46.14,47,Medium
2025-01-01 02:06:00,Night,2,Wednesday,Rain,43,160,54.03,0,0,57,4,0.74,10.59,49,Medium
2025-01-01 02:13:00,Night,2,Wednesday,Rain,55,229,46.21,0,0,78,3,26.63,47.22,63,Medium
2025-01-01 02:20:00,Night,2,Wednesday,Clear,49,218,59.61,1,0,76,6,1.95,14.03,60,Medium
2025-01-01 02:27:00,Night,2,Wednesday,Storm,53,224,38.74,0,0,83,4,13.04,34.54,72,High
2025-01-01 02:34:00,Night,2,Wednesday,Fog,48,201,42.86,1,0,79,3,15.87,36.49,72,High
